p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,target,experimental_characteristics
52.1,50.44588902720064,45.6682376715177,38.296944180396544,29.13811887033596,19.170174219179025,9.421797950282592,0.9975521170576825,5.930906699284708,10.252299565621835,12.075360541572756,11.575058437036283,9.210801877656266,5.642763295991388,1.6676410588770836,2.2688108415655166,5.13608800547654,6.759601092600524,6.957452963184136,5.822299630849514,3.672923574712868,1.0619476658716143,1.9287818367363587,4.158184694195825,5.545371558730738,5.837012360346267,5.007379104681927,3.2357975785620687,0.8899381343969444,1.716933816898264,3.9381005376893308,5.460034680396903,1,Mammalian
160.82,112.45797833396567,15.965987333667547,40.41619815166411,26.910801664288837,8.517062458803046,14.155646588089619,9.596292902780966,13.035333906426574,15.670429965997304,29.017423459340318,13.831219164625047,13.429972214426844,20.60048240103378,6.220192593455664,4.978323891846194,5.2766845651412595,16.29592934157479,14.436944816983821,9.190945650031471,6.602857150267931,6.263537306112604,15.120547941788475,9.98471618960188,4.127719703173378,8.488203009674622,7.407286544455805,8.06973785282306,11.517937209335173,10.88869879857448,5.078013229175724,6.471675971559569,1,Mammalian
50.05,48.49574128828393,44.01394145804244,37.123946382647496,28.617151818875204,19.463527777346016,10.74250785460103,4.088166532447365,4.734969214928136,7.7633617700447735,8.899739426650969,8.038512459520033,5.672445237904066,2.8112388681320977,2.8078332113242483,5.37482379965516,7.294497926519688,7.896885982225999,7.056123707398908,4.957550028793492,2.133223345627975,1.9948370676262404,4.911821973535951,7.2520490233035115,8.459141004480468,8.327843114832968,6.920682195596212,4.617233989446673,2.6140667466793683,3.706151242461363,6.128252131780844,7.937589130114055,1,Mammalian
278.03,106.91234950863783,50.695717352482276,18.15468609374473,16.37133948717038,23.93199735256433,24.50445815965741,16.016718614261112,19.696242979196764,19.402501863605856,9.17181194570073,11.87906930243513,12.342479321624385,10.845457960841916,16.438503273083736,2.185241756878202,11.062843215014837,8.520090521346711,4.431147533543118,10.49248490759562,10.262030467701278,10.72556825951758,13.2826317294717,8.56560440786114,6.552176165553121,8.71893798432867,12.329913797840698,6.267327521107121,7.705840529822908,12.763024950941945,14.229936746358606,8.418625887509823,1,Mammalian
159.22000000000003,133.94387984958476,72.41570652788992,7.923095639671302,29.114538054513385,29.352453180709038,7.11479838362206,13.94102366040559,17.313019044513407,7.272519871530846,15.307110201645775,20.93407697900504,14.465358780729254,4.9650246571591685,7.525663405788527,7.279136967325542,4.165405142360104,3.668839050236318,4.059669748025143,7.176545562475854,12.529321397759363,18.306089206836877,20.716172445674598,16.159584226318035,5.973991259142934,3.8691391699829114,6.677192539140982,2.550425658171969,4.2125021695804605,4.538222699876,2.9981727998333705,12.551123614550061,1,Mammalian
209.87,121.62333269400877,19.10762872751663,31.4076462261718,21.23283431912227,14.586001306604956,28.304057837946747,18.40237931810156,13.022691231673498,1.5208044566077392,19.01716724495247,3.1619238654801283,17.391138071091117,7.256546328859162,13.4166050758025,2.513971995389154,10.122178619249913,9.544605759777331,8.50853641216494,4.859416625643541,4.208544802625394,9.330204328858285,11.33420952315482,6.626085828566696,13.229274851045089,9.050679697311452,8.130650024989222,5.058492670779368,13.822257920225745,9.229077870587195,12.223302553493323,11.397727449178618,1,Mammalian
116.38999999999999,105.26948452229365,76.00303700524238,39.30385025613472,11.72673070927763,18.62672916888296,21.65437200597035,13.660442744643731,2.2707678691411344,7.797503470391138,10.269961510906233,8.183112257075482,7.705241436356768,9.034362542580356,7.438542954815828,3.2752322179497804,3.465385981387927,4.99450305071596,3.522851267568405,6.30006958369498,12.586232612712067,16.992528985230653,17.92480089671599,16.022912625562235,12.997838792833068,10.029356423169823,7.474898962526911,6.1774441814878935,6.503244567001833,6.677984755300973,5.530589981219507,3.3083249016154856,1,Mammalian
116.06,104.96751878238335,75.7842963239544,39.23077546804803,11.94898869732049,18.67054222989926,21.540887980304543,13.459318699911996,2.1426824192405025,8.04936442570598,10.515024690626149,8.45954075105811,8.031394191226179,9.363138957653304,7.753835545081721,3.4423530125823767,3.188886953154657,4.851972736495804,3.6664637870695653,6.403534744361989,12.48684448831059,16.770376673256408,17.672582641665127,15.852831852430274,13.00165035871514,10.204219791969832,7.731989293054498,6.435804646577539,6.7560558894367535,6.942249229934364,5.75667208047389,3.3809423977063973,1,Mammalian
65.86,62.95061985815008,54.70206580590162,42.45772037835632,28.160118205489987,13.98306591329184,2.295614678190013,7.1479505935668985,11.752512561974957,12.620969375810745,10.761156057853904,7.837090815731138,5.836495298087331,5.43475836884108,4.878650600947301,2.8864127997942957,0.5110772935672225,4.5557122753093315,8.21657277223312,10.541227306919973,10.937880510336077,9.368072243438998,6.518368160933464,4.449215606123411,5.808480737733486,8.118706547117949,9.151326274161693,8.353068621413465,5.928392297229136,2.559697753299565,0.83526896832293,3.3118247819964663,1,Mammalian
79.44,75.00519746645479,62.5955483827638,44.697270954723066,24.87977348651922,7.796242783404462,9.310054610356543,15.808437165978248,16.075117158428256,10.935688434027345,3.358868384759823,7.3461665597648365,14.138532500789939,17.501172128493835,16.853345889453777,13.012582152912668,8.201975371823549,6.670376802630802,8.930654005575988,10.293317861231913,9.198251320813212,5.970820263788261,2.0169768070200944,3.1203767593155463,5.760261134949135,6.589184972217884,5.575657342631781,3.59395646969428,3.1308373676638017,5.143018808457068,7.175890892964928,8.432116048184694,1,Mammalian
