p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,target,experimental_characteristics
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,Mammalian
0.10714285714285714,0.10714285714285714,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.03571428571428571,0.14285714285714285,0.07142857142857142,0.03571428571428571,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.03571428571428571,0.10714285714285714,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,Mammalian
0.3333333333333333,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,Mammalian
0.2,0.2,0.044444444444444446,0.15555555555555556,0.022222222222222223,0.022222222222222223,0.2,0.15555555555555556,0.044444444444444446,0.2,0.022222222222222223,0.06666666666666667,0.15555555555555556,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1111111111111111,0.15555555555555556,0.044444444444444446,0.044444444444444446,0.06666666666666667,0.1111111111111111,0.1111111111111111,0.044444444444444446,0.06666666666666667,0.2,0.15555555555555556,0.06666666666666667,0.044444444444444446,0.2,0.044444444444444446,0.2,0.1111111111111111,0.15555555555555556,0.06666666666666667,0.022222222222222223,0.06666666666666667,0.06666666666666667,0.15555555555555556,0.2,0.06666666666666667,0.1111111111111111,0.06666666666666667,0.044444444444444446,0.2,0.0,0.0,0.0,0,0,0,1,Mammalian
0.38095238095238093,0.38095238095238093,0.42857142857142855,0.38095238095238093,0.19047619047619047,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.42857142857142855,0.38095238095238093,0.19047619047619047,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.42857142857142855,0.19047619047619047,0.19047619047619047,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,Mammalian
0.14285714285714285,0.14285714285714285,0.05714285714285714,0.2,0.05714285714285714,0.05714285714285714,0.14285714285714285,0.02857142857142857,0.05714285714285714,0.11428571428571428,0.2,0.05714285714285714,0.05714285714285714,0.2,0.2,0.08571428571428572,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.2,0.05714285714285714,0.14285714285714285,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.11428571428571428,0.2,0.2,0.14285714285714285,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,Mammalian
0.11764705882352941,0.11764705882352941,0.11764705882352941,0.23529411764705882,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,Mammalian
0.11764705882352941,0.11764705882352941,0.11764705882352941,0.23529411764705882,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.17647058823529413,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,Mammalian
0.2727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,Mammalian
0.25,0.25,0.08333333333333333,0.08333333333333333,0.25,0.25,0.08333333333333333,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,Mammalian
